Lat,Lon,Title,Continent,Country or area,City,X.1,Statistical concept,2000,2000_tooltip,2016,2016_tooltip,2030,2000-2016,2016-2030,Total population,Urban population,category
33.74,113.3,null,Asia,China,"Pingdingshan, Henan","China, Pingdingshan, Henan",City Proper,632,0.6 million,1022,1.0 million,1323,3,1.8,0.1,0.1,between 2.5 and 5
33.76,-84.4,null,North America,United States of America,Atlanta,"United States of America, Atlanta",Urban Agglomeration,3522,3.5 million,5249,5.2 million,6140,2.5,1.1,1.6,2,between 2.5 and 5
33.9,35.48,null,Asia,Lebanon,Bayrut (Beirut),"Lebanon, Bayrut (Beirut)",Urban Agglomeration,1487,1.5 million,2263,2.3 million,2437,2.6,0.5,44.6,50.7,between 2.5 and 5
33.95,-117.4,null,North America,United States of America,Riverside-San Bernardino,"United States of America, Riverside-San Bernardino",Urban Agglomeration,1516,1.5 million,2239,2.2 million,2653,2.4,1.2,0.7,0.8,between 0 and 2.5
33.97,118.29,null,Asia,China,Suqian,"China, Suqian",Urban Agglomeration,397,0.4 million,1111,1.1 million,1591,6.4,2.6,0.1,0.1,5 or more
34,71.56,null,Asia,Pakistan,Peshawar,"Pakistan, Peshawar",Urban Agglomeration,1066,1.1 million,1787,1.8 million,2640,3.2,2.8,0.9,2.4,between 2.5 and 5
34,71.56,null,Asia,Pakistan,Peshawar,"Pakistan, Peshawar",Urban Agglomeration,1066,1.1 million,1787,1.8 million,2640,3.2,2.8,0.9,2.4,between 2.5 and 5
34.01,-6.83,null,Africa,Morocco,Rabat,"Morocco, Rabat",Urban Agglomeration,1507,1.5 million,2004,2.0 million,2574,1.8,1.8,5.8,9.6,between 0 and 2.5
34.03,-118.24,null,North America,United States of America,Los Angeles-Long Beach-Santa Ana,"United States of America, Los Angeles-Long Beach-Santa Ana",Urban Agglomeration,11798,11.8 million,12317,12.3 million,13257,0.3,0.5,3.8,4.6,between 0 and 2.5
34.04,-5,null,Africa,Morocco,Fès,"Morocco, Fès",Urban Agglomeration,868,0.9 million,1197,1.2 million,1559,2,1.9,3.5,5.7,between 0 and 2.5
34.08,74.8,null,Asia,India,Srinagar,"India, Srinagar",Urban Agglomeration,954,1.0 million,1464,1.5 million,2030,2.7,2.3,0.1,0.3,between 2.5 and 5
34.26,117.19,null,Asia,China,Xuzhou,"China, Xuzhou",Urban Agglomeration,1367,1.4 million,1956,2.0 million,2445,2.2,1.6,0.1,0.2,between 0 and 2.5
34.29,108.94,null,Asia,China,"Xi’an, Shaanxi","China, Xi’an, Shaanxi",Urban Agglomeration,3690,3.7 million,6220,6.2 million,7904,3.3,1.7,0.4,0.8,between 2.5 and 5
34.37,107.2,null,Asia,China,Baoji,"China, Baoji",Urban Agglomeration,638,0.6 million,1028,1.0 million,1329,3,1.8,0.1,0.1,between 2.5 and 5
34.39,132.46,null,Asia,Japan,Hiroshima,"Japan, Hiroshima",Metropolitan area,2044,2.0 million,2180,2.2 million,2213,0.4,0.1,1.7,1.8,between 0 and 2.5
34.53,69.17,null,Asia,Afghanistan,Kabul,"Afghanistan, Kabul",City Proper,2401,2.4 million,4842,4.8 million,8280,4.4,3.8,14.8,54.5,between 2.5 and 5
34.6,119.18,null,Asia,China,Lianyungang,"China, Lianyungang",Urban Agglomeration,567,0.6 million,1143,1.1 million,1542,4.4,2.1,0.1,0.1,between 2.5 and 5
34.62,112.46,null,Asia,China,Luoyang,"China, Luoyang",Urban Agglomeration,1213,1.2 million,2076,2.1 million,2688,3.4,1.8,0.1,0.3,between 2.5 and 5
34.64,50.88,null,Asia,Iran (Islamic Republic of),Qom,"Iran (Islamic Republic of), Qom",City Proper,843,0.8 million,1234,1.2 million,1568,2.4,1.7,1.5,2.1,between 0 and 2.5
34.68,135.55,null,Asia,Japan,Kinki M.M.A. (Osaka),"Japan, Kinki M.M.A. (Osaka)",Metropolitan area,18660,18.7 million,20337,20.3 million,19976,0.5,-0.1,16.1,17.1,between 0 and 2.5
34.73,36.72,null,Asia,Syrian Arab Republic,Hims (Homs),"Syrian Arab Republic, Hims (Homs)",Urban Agglomeration,856,0.9 million,1695,1.7 million,2471,4.3,2.7,7.4,12.8,between 2.5 and 5
34.76,113.65,null,Asia,China,Zhengzhou,"China, Zhengzhou",Urban Agglomeration,2438,2.4 million,4539,4.5 million,5900,3.9,1.9,0.3,0.6,between 2.5 and 5
34.86,117.55,null,Asia,China,Zaozhuang,"China, Zaozhuang",Urban Agglomeration,853,0.9 million,1038,1.0 million,1264,1.2,1.4,0.1,0.1,between 0 and 2.5
34.98,138.38,null,Asia,Japan,Shizuoka-Hamamatsu M.M.A.,"Japan, Shizuoka-Hamamatsu M.M.A.",Metropolitan area,1217,1.2 million,3493,3.5 million,3934,6.6,0.8,2.8,2.9,5 or more
35.05,118.33,null,Asia,China,"Linyi, Shandong","China, Linyi, Shandong",Urban Agglomeration,1130,1.1 million,1744,1.7 million,2204,2.7,1.7,0.1,0.2,between 2.5 and 5
35.1,129.04,null,Asia,Republic of Korea,Busan,"Republic of Korea, Busan",City Proper,3594,3.6 million,3200,3.2 million,3264,-0.7,0.1,6.4,7.8,negative
35.13,36.76,null,Asia,Syrian Arab Republic,Hamah,"Syrian Arab Republic, Hamah",Urban Agglomeration,495,0.5 million,1297,1.3 million,2003,6,3.1,5.7,9.8,5 or more
35.14,-90.05,null,North America,United States of America,Memphis,"United States of America, Memphis",Urban Agglomeration,974,1.0 million,1113,1.1 million,1269,0.8,0.9,0.3,0.4,between 0 and 2.5
35.15,126.92,null,Asia,Republic of Korea,Gwangju,"Republic of Korea, Gwangju",City Proper,1343,1.3 million,1550,1.6 million,1682,0.9,0.6,3.1,3.8,between 0 and 2.5
35.18,136.91,null,Asia,Japan,Chukyo M.M.A. (Nagoya),"Japan, Chukyo M.M.A. (Nagoya)",Metropolitan area,8740,8.7 million,9434,9.4 million,9304,0.5,-0.1,7.5,7.9,between 0 and 2.5
35.23,-80.84,null,North America,United States of America,Charlotte,"United States of America, Charlotte",Urban Agglomeration,768,0.8 million,1685,1.7 million,2166,4.9,1.8,0.5,0.6,between 2.5 and 5
35.23,128.68,null,Asia,Republic of Korea,Changwon,"Republic of Korea, Changwon",Urban Agglomeration,1077,1.1 million,1036,1.0 million,1090,-0.2,0.4,2.1,2.5,negative
35.3,113.9,null,Asia,China,Xinxiang,"China, Xinxiang",Urban Agglomeration,762,0.8 million,1006,1.0 million,1249,1.7,1.5,0.1,0.1,between 0 and 2.5
35.4,119.51,null,Asia,China,Rizhao,"China, Rizhao",Urban Agglomeration,613,0.6 million,1096,1.1 million,1441,3.6,2,0.1,0.1,between 2.5 and 5
35.41,116.58,null,Asia,China,"Jining, Shandong","China, Jining, Shandong",Urban Agglomeration,1112,1.1 million,1403,1.4 million,1722,1.5,1.5,0.1,0.2,between 0 and 2.5
35.56,45.44,null,Asia,Iraq,Sulaimaniya,"Iraq, Sulaimaniya",Urban Agglomeration,580,0.6 million,1041,1.0 million,1571,3.7,2.9,2.8,4.1,between 2.5 and 5
35.69,139.69,null,Asia,Japan,Tokyo,"Japan, Tokyo",Metropolitan area,34450,34.5 million,38140,38.1 million,37190,0.6,-0.2,30.1,32.1,between 0 and 2.5
35.69,51.42,null,Asia,Iran (Islamic Republic of),Tehran,"Iran (Islamic Republic of), Tehran",City Proper,7128,7.1 million,8516,8.5 million,9990,1.1,1.1,10.6,14.3,between 0 and 2.5
35.78,-78.64,null,North America,United States of America,Raleigh,"United States of America, Raleigh",Urban Agglomeration,548,0.5 million,1188,1.2 million,1533,4.8,1.8,0.4,0.4,between 2.5 and 5
35.78,-5.81,null,Africa,Morocco,Tanger,"Morocco, Tanger",Urban Agglomeration,591,0.6 million,1016,1.0 million,1391,3.4,2.2,3,4.9,between 2.5 and 5
35.84,51.01,null,Asia,Iran (Islamic Republic of),Karaj,"Iran (Islamic Republic of), Karaj",City Proper,1087,1.1 million,1861,1.9 million,2386,3.4,1.8,2.3,3.1,between 2.5 and 5
35.87,128.59,null,Asia,Republic of Korea,Daegu,"Republic of Korea, Daegu",City Proper,2323,2.3 million,2241,2.2 million,2328,-0.2,0.3,4.5,5.4,negative
36.06,103.79,null,Asia,China,Lanzhou,"China, Lanzhou",Urban Agglomeration,1890,1.9 million,2782,2.8 million,3485,2.4,1.6,0.2,0.3,between 0 and 2.5
36.09,114.35,null,Asia,China,Anyang,"China, Anyang",Urban Agglomeration,548,0.5 million,1191,1.2 million,1633,4.9,2.2,0.1,0.1,between 2.5 and 5
36.1,120.37,null,Asia,China,Qingdao,"China, Qingdao",Urban Agglomeration,2940,2.9 million,4686,4.7 million,5920,2.9,1.7,0.3,0.6,between 2.5 and 5
36.16,-86.78,null,North America,United States of America,Nashville-Davidson,"United States of America, Nashville-Davidson",Urban Agglomeration,755,0.8 million,1129,1.1 million,1357,2.5,1.3,0.3,0.4,between 2.5 and 5
36.17,-115.14,null,North America,United States of America,Las Vegas,"United States of America, Las Vegas",Urban Agglomeration,1326,1.3 million,2340,2.3 million,2867,3.5,1.5,0.7,0.9,between 2.5 and 5
36.19,117.12,null,Asia,China,"Taian, Shandong","China, Taian, Shandong",Urban Agglomeration,910,0.9 million,1239,1.2 million,1541,1.9,1.6,0.1,0.2,between 0 and 2.5
36.19,44.01,null,Asia,Iraq,Irbil (Erbil),"Iraq, Irbil (Erbil)",City Proper,757,0.8 million,1200,1.2 million,1766,2.9,2.8,3.3,4.7,between 2.5 and 5
36.21,37.16,null,Asia,Syrian Arab Republic,Halab (Aleppo),"Syrian Arab Republic, Halab (Aleppo)",Urban Agglomeration,2204,2.2 million,3641,3.6 million,5087,3.1,2.4,16,27.5,between 2.5 and 5
36.3,59.61,null,Asia,Iran (Islamic Republic of),Mashhad,"Iran (Islamic Republic of), Mashhad",City Proper,2073,2.1 million,3088,3.1 million,3863,2.5,1.6,3.8,5.2,between 2.5 and 5
36.32,127.42,null,Asia,Republic of Korea,Daejon,"Republic of Korea, Daejon",City Proper,1354,1.4 million,1578,1.6 million,1711,1,0.6,3.2,3.8,between 0 and 2.5
36.34,43.12,null,Asia,Iraq,Al-Mawsil (Mosul),"Iraq, Al-Mawsil (Mosul)",Urban Agglomeration,1056,1.1 million,1749,1.7 million,2586,3.2,2.8,4.8,6.8,between 2.5 and 5
36.62,101.77,null,Asia,China,Xining,"China, Xining",Urban Agglomeration,844,0.8 million,1359,1.4 million,1750,3,1.8,0.1,0.2,between 2.5 and 5
36.71,119.1,null,Asia,China,Weifang,"China, Weifang",Urban Agglomeration,1235,1.2 million,2269,2.3 million,2973,3.8,1.9,0.2,0.3,between 2.5 and 5
36.75,3.04,null,Africa,Algeria,El Djazaïr  (Algiers),"Algeria, El Djazaïr  (Algiers)",Urban Agglomeration,2141,2.1 million,2632,2.6 million,3405,1.3,1.8,6.4,8.9,between 0 and 2.5
36.79,118.06,null,Asia,China,Zibo,"China, Zibo",Urban Agglomeration,1874,1.9 million,2465,2.5 million,3015,1.7,1.4,0.2,0.3,between 0 and 2.5
36.82,10.17,null,Africa,Tunisia,Tunis,"Tunisia, Tunis",Urban Agglomeration,1769,1.8 million,2010,2.0 million,2347,0.8,1.1,17.7,26.4,between 0 and 2.5
36.83,-76.09,null,North America,United States of America,Virginia Beach,"United States of America, Virginia Beach",Urban Agglomeration,1396,1.4 million,1462,1.5 million,1632,0.3,0.8,0.4,0.5,between 0 and 2.5
36.91,30.7,null,Asia,Turkey,Antalya,"Turkey, Antalya",City Proper,595,0.6 million,1100,1.1 million,1381,3.8,1.6,1.4,1.9,between 2.5 and 5
37,35.33,null,Asia,Turkey,Adana,"Turkey, Adana",Urban Agglomeration,1123,1.1 million,1879,1.9 million,2351,3.2,1.6,2.4,3.3,between 2.5 and 5
37.06,37.38,null,Asia,Turkey,Gaziantep,"Turkey, Gaziantep",Urban Agglomeration,844,0.8 million,1567,1.6 million,1955,3.9,1.6,2,2.7,between 2.5 and 5
37.24,127.2,null,Asia,Republic of Korea,Yongin,"Republic of Korea, Yongin",City Proper,376,0.4 million,1090,1.1 million,1325,6.7,1.4,2.2,2.6,5 or more
37.26,127.02,null,Asia,Republic of Korea,Suweon,"Republic of Korea, Suweon",City Proper,932,0.9 million,1106,1.1 million,1195,1.1,0.6,2.2,2.7,between 0 and 2.5
37.34,-121.89,null,North America,United States of America,San Jose,"United States of America, San Jose",Urban Agglomeration,1541,1.5 million,1739,1.7 million,1964,0.8,0.9,0.5,0.6,between 0 and 2.5
37.45,126.73,null,Asia,Republic of Korea,Incheon,"Republic of Korea, Incheon",City Proper,2371,2.4 million,2711,2.7 million,2919,0.8,0.5,5.4,6.6,between 0 and 2.5
37.47,121.44,null,Asia,China,Yantai,"China, Yantai",Urban Agglomeration,1218,1.2 million,2182,2.2 million,2838,3.6,1.9,0.2,0.3,between 2.5 and 5
37.54,-77.44,null,North America,United States of America,Richmond,"United States of America, Richmond",Urban Agglomeration,822,0.8 million,1042,1.0 million,1214,1.5,1.1,0.3,0.4,between 0 and 2.5
37.57,126.98,null,Asia,Republic of Korea,Seoul,"Republic of Korea, Seoul",City Proper,9878,9.9 million,9779,9.8 million,9960,-0.1,0.1,19.6,23.7,negative
37.76,-122.44,null,North America,United States of America,San Francisco-Oakland,"United States of America, San Francisco-Oakland",Urban Agglomeration,3230,3.2 million,3299,3.3 million,3615,0.1,0.7,1,1.2,between 0 and 2.5
37.86,112.55,null,Asia,China,"Taiyuan, Shanxi","China, Taiyuan, Shanxi",Urban Agglomeration,2503,2.5 million,3549,3.5 million,4396,2.2,1.5,0.3,0.4,between 0 and 2.5
37.87,32.48,null,Asia,Turkey,Konya,"Turkey, Konya",Urban Agglomeration,734,0.7 million,1226,1.2 million,1542,3.2,1.6,1.6,2.1,between 2.5 and 5
37.95,23.75,null,Europe,Greece,Athínai (Athens),"Greece, Athínai (Athens)",Urban Agglomeration,3179,3.2 million,3046,3.0 million,3169,-0.3,0.3,27.4,35,negative
38.04,114.51,null,Asia,China,Shijiazhuang,"China, Shijiazhuang",Urban Agglomeration,1914,1.9 million,3370,3.4 million,4362,3.5,1.8,0.2,0.4,between 2.5 and 5
38.08,46.29,null,Asia,Iran (Islamic Republic of),Tabriz,"Iran (Islamic Republic of), Tabriz",City Proper,1264,1.3 million,1594,1.6 million,1943,1.4,1.4,2,2.7,between 0 and 2.5
38.24,-85.76,null,North America,United States of America,Louisville,"United States of America, Louisville",Urban Agglomeration,866,0.9 million,1041,1.0 million,1201,1.2,1,0.3,0.4,between 0 and 2.5
38.26,140.9,null,Asia,Japan,Sendai,"Japan, Sendai",Metropolitan area,2184,2.2 million,2071,2.1 million,2012,-0.3,-0.2,1.6,1.7,negative
38.41,27.14,null,Asia,Turkey,Izmir,"Turkey, Izmir",Urban Agglomeration,2216,2.2 million,3090,3.1 million,3701,2.1,1.3,4,5.4,between 0 and 2.5
38.47,106.27,null,Asia,China,Yinchuan,"China, Yinchuan",Urban Agglomeration,571,0.6 million,1698,1.7 million,2461,6.8,2.7,0.1,0.2,5 or more
38.58,-121.49,null,North America,United States of America,Sacramento,"United States of America, Sacramento",Urban Agglomeration,1401,1.4 million,1953,2.0 million,2294,2.1,1.1,0.6,0.7,between 0 and 2.5
38.63,-90.2,null,North America,United States of America,St. Louis,"United States of America, St. Louis",Urban Agglomeration,2079,2.1 million,2187,2.2 million,2427,0.3,0.7,0.7,0.8,between 0 and 2.5
38.72,-9.14,null,Europe,Portugal,Lisboa (Lisbon),"Portugal, Lisboa (Lisbon)",Metropolitan area,2672,2.7 million,2902,2.9 million,3192,0.5,0.7,27.4,42.7,between 0 and 2.5
38.85,115.49,null,Asia,China,Baoding,"China, Baoding",Urban Agglomeration,884,0.9 million,1120,1.1 million,1377,1.5,1.5,0.1,0.1,between 0 and 2.5
38.9,-77.04,null,North America,United States of America,"Washington, D.C.","United States of America, Washington, D.C.",Urban Agglomeration,3949,3.9 million,5013,5.0 million,5690,1.5,0.9,1.5,1.9,between 0 and 2.5
38.91,121.6,null,Asia,China,Dalian,"China, Dalian",Urban Agglomeration,2833,2.8 million,4612,4.6 million,5851,3,1.7,0.3,0.6,between 2.5 and 5
39.03,125.75,null,Asia,Dem. People’s Rep. of Korea,P’yongyang,"Dem. People’s Rep. of Korea, P’yongyang",City Proper,2777,2.8 million,2872,2.9 million,3277,0.2,0.9,11.4,18.6,between 0 and 2.5
39.1,-84.52,null,North America,United States of America,Cincinnati,"United States of America, Cincinnati",Urban Agglomeration,1506,1.5 million,1696,1.7 million,1916,0.7,0.9,0.5,0.6,between 0 and 2.5
39.11,117.19,null,Asia,China,Tianjin,"China, Tianjin",Urban Agglomeration,6670,6.7 million,11558,11.6 million,14655,3.4,1.7,0.8,1.4,between 2.5 and 5
39.11,-94.63,null,North America,United States of America,Kansas City,"United States of America, Kansas City",Urban Agglomeration,1365,1.4 million,1617,1.6 million,1846,1.1,0.9,0.5,0.6,between 0 and 2.5
39.29,-76.61,null,North America,United States of America,Baltimore,"United States of America, Baltimore",Urban Agglomeration,2079,2.1 million,2275,2.3 million,2543,0.6,0.8,0.7,0.8,between 0 and 2.5
39.63,118.18,null,Asia,China,"Tangshan, Hebei","China, Tangshan, Hebei",Urban Agglomeration,1418,1.4 million,2853,2.9 million,3801,4.4,2,0.2,0.4,between 2.5 and 5
39.73,-104.98,null,North America,United States of America,Denver-Aurora,"United States of America, Denver-Aurora",Urban Agglomeration,1994,2.0 million,2636,2.6 million,3048,1.7,1,0.8,1,between 0 and 2.5
39.79,-86.15,null,North America,United States of America,Indianapolis,"United States of America, Indianapolis",Urban Agglomeration,1225,1.2 million,1672,1.7 million,1961,1.9,1.1,0.5,0.6,between 0 and 2.5
39.91,116.4,null,Asia,China,Beijing,"China, Beijing",Urban Agglomeration,10162,10.2 million,21240,21.2 million,27706,4.6,1.9,1.5,2.7,between 2.5 and 5
39.92,32.85,null,Asia,Turkey,Ankara,"Turkey, Ankara",Urban Agglomeration,3179,3.2 million,4852,4.9 million,5875,2.6,1.4,6.3,8.5,between 2.5 and 5
39.93,119.59,null,Asia,China,Qinhuangdao,"China, Qinhuangdao",Urban Agglomeration,702,0.7 million,1139,1.1 million,1470,3,1.8,0.1,0.1,between 2.5 and 5
39.95,-75.16,null,North America,United States of America,Philadelphia,"United States of America, Philadelphia",Urban Agglomeration,5156,5.2 million,5602,5.6 million,6158,0.5,0.7,1.7,2.1,between 0 and 2.5
39.96,-83,null,North America,United States of America,"Columbus, Ohio","United States of America, Columbus, Ohio",Urban Agglomeration,1139,1.1 million,1528,1.5 million,1788,1.8,1.1,0.5,0.6,between 0 and 2.5
40.08,113.29,null,Asia,China,Datong,"China, Datong",Urban Agglomeration,1049,1.0 million,1567,1.6 million,1988,2.5,1.7,0.1,0.2,between 2.5 and 5
40.18,44.51,null,Asia,Armenia,Yerevan,"Armenia, Yerevan",City Proper,1111,1.1 million,1040,1.0 million,1057,-0.4,0.1,34.8,55.6,negative
40.19,29.06,null,Asia,Turkey,Bursa,"Turkey, Bursa",Urban Agglomeration,1180,1.2 million,1974,2.0 million,2465,3.2,1.6,2.5,3.4,between 2.5 and 5
40.38,49.89,null,Asia,Azerbaijan,Baku,"Azerbaijan, Baku",Urban Agglomeration,1806,1.8 million,2429,2.4 million,2971,1.9,1.4,25,45.6,between 0 and 2.5
40.42,-3.7,null,Europe,Spain,Madrid,"Spain, Madrid",City Proper,5014,5.0 million,6264,6.3 million,6707,1.4,0.5,13.2,16.6,between 0 and 2.5
40.44,-79.99,null,North America,United States of America,Pittsburgh,"United States of America, Pittsburgh",Urban Agglomeration,1753,1.8 million,1715,1.7 million,1884,-0.1,0.7,0.5,0.6,negative
40.65,109.82,null,Asia,China,Baotou,"China, Baotou",Urban Agglomeration,1406,1.4 million,1996,2.0 million,2495,2.2,1.6,0.1,0.2,between 0 and 2.5
40.66,122.23,null,Asia,China,Yingkou,"China, Yingkou",Urban Agglomeration,624,0.6 million,1057,1.1 million,1380,3.3,1.9,0.1,0.1,between 2.5 and 5
40.72,-74,null,North America,United States of America,New York-Newark,"United States of America, New York-Newark",Urban Agglomeration,17813,17.8 million,18604,18.6 million,19885,0.3,0.5,5.7,6.9,between 0 and 2.5
40.75,-111.89,null,North America,United States of America,Salt Lake City,"United States of America, Salt Lake City",Urban Agglomeration,891,0.9 million,1108,1.1 million,1284,1.4,1.1,0.3,0.4,between 0 and 2.5
40.85,14.26,null,Europe,Italy,Napoli (Naples),"Italy, Napoli (Naples)",Metropolitan area,2232,2.2 million,2198,2.2 million,2226,-0.1,0.1,3.6,5.2,negative
41.01,28.95,null,Asia,Turkey,Istanbul,"Turkey, Istanbul",Urban Agglomeration,8744,8.7 million,14365,14.4 million,16694,3.1,1.1,18.5,25.1,between 2.5 and 5
41.11,121.14,null,Asia,China,Jinzhou,"China, Jinzhou",Urban Agglomeration,770,0.8 million,1053,1.1 million,1319,2,1.6,0.1,0.1,between 0 and 2.5
41.12,122.99,null,Asia,China,Anshan,"China, Anshan",Urban Agglomeration,1384,1.4 million,1570,1.6 million,1886,0.8,1.3,0.1,0.2,between 0 and 2.5
41.15,-8.61,null,Europe,Portugal,Porto,"Portugal, Porto",Metropolitan area,1254,1.3 million,1304,1.3 million,1443,0.2,0.7,12.3,19.2,between 0 and 2.5
41.26,69.22,null,Asia,Uzbekistan,Tashkent,"Uzbekistan, Tashkent",City Proper,2135,2.1 million,2264,2.3 million,2839,0.4,1.6,7.5,20.6,between 0 and 2.5
41.29,123.77,null,Asia,China,Benxi,"China, Benxi",Urban Agglomeration,857,0.9 million,1085,1.1 million,1338,1.5,1.5,0.1,0.1,between 0 and 2.5
41.39,2.16,null,Europe,Spain,Barcelona,"Spain, Barcelona",City Proper,4355,4.4 million,5309,5.3 million,5685,1.2,0.5,11.2,14.1,between 0 and 2.5
41.5,-81.69,null,North America,United States of America,Cleveland,"United States of America, Cleveland",Urban Agglomeration,1786,1.8 million,1769,1.8 million,1948,-0.1,0.7,0.5,0.7,negative
41.69,44.83,null,Asia,Georgia,Tbilisi,"Georgia, Tbilisi",City Proper,1100,1.1 million,1145,1.1 million,1119,0.3,-0.2,26.7,49.7,between 0 and 2.5
41.79,123.43,null,Asia,China,Shenyang,"China, Shenyang",Urban Agglomeration,4562,4.6 million,6438,6.4 million,7911,2.2,1.5,0.5,0.8,between 0 and 2.5
41.82,-71.42,null,North America,United States of America,Providence,"United States of America, Providence",Urban Agglomeration,1175,1.2 million,1196,1.2 million,1333,0.1,0.8,0.4,0.4,between 0 and 2.5
41.85,-87.65,null,North America,United States of America,Chicago,"United States of America, Chicago",Urban Agglomeration,8315,8.3 million,8755,8.8 million,9493,0.3,0.6,2.7,3.3,between 0 and 2.5
41.88,123.95,null,Asia,China,"Fushun, Liaoning","China, Fushun, Liaoning",Urban Agglomeration,1358,1.4 million,1295,1.3 million,1508,-0.3,1.1,0.1,0.2,negative
41.89,12.48,null,Europe,Italy,Roma (Rome),"Italy, Roma (Rome)",Metropolitan area,3385,3.4 million,3738,3.7 million,3842,0.6,0.2,6.1,8.8,between 0 and 2.5
42.26,118.92,null,Asia,China,Chifeng,"China, Chifeng",Urban Agglomeration,677,0.7 million,1043,1.0 million,1333,2.7,1.8,0.1,0.1,between 2.5 and 5
42.35,-71.06,null,North America,United States of America,Boston,"United States of America, Boston",Urban Agglomeration,4036,4.0 million,4255,4.3 million,4671,0.3,0.7,1.3,1.6,between 0 and 2.5
42.39,-83.1,null,North America,United States of America,Detroit,"United States of America, Detroit",Urban Agglomeration,3899,3.9 million,3618,3.6 million,3886,-0.5,0.5,1.1,1.4,negative
42.7,23.32,null,Europe,Bulgaria,Sofia,"Bulgaria, Sofia",Urban Agglomeration,1128,1.1 million,1230,1.2 million,1230,0.5,0,17.4,23.5,between 0 and 2.5
43.04,-87.91,null,North America,United States of America,Milwaukee,"United States of America, Milwaukee",Urban Agglomeration,1311,1.3 million,1413,1.4 million,1588,0.5,0.8,0.4,0.5,between 0 and 2.5
43.06,141.35,null,Asia,Japan,Sapporo,"Japan, Sapporo",Metropolitan area,2508,2.5 million,2564,2.6 million,2542,0.1,-0.1,2,2.2,between 0 and 2.5
43.25,76.91,null,Asia,Kazakhstan,Almaty,"Kazakhstan, Almaty",City Proper,1160,1.2 million,1535,1.5 million,1730,1.8,0.9,9.1,17,between 0 and 2.5
43.53,5.44,null,Europe,France,Marseille-Aix-en-Provence,"France, Marseille-Aix-en-Provence",Urban Agglomeration,1474,1.5 million,1616,1.6 million,1798,0.6,0.8,2.5,3.1,between 0 and 2.5
43.7,-79.42,null,North America,Canada,Toronto,"Canada, Toronto",Metropolitan area,4607,4.6 million,6083,6.1 million,6957,1.7,1,16.8,20.5,between 0 and 2.5
43.83,87.6,null,Asia,China,Ürümqi (Wulumqi),"China, Ürümqi (Wulumqi)",Urban Agglomeration,1807,1.8 million,3639,3.6 million,4831,4.4,2,0.3,0.5,between 2.5 and 5
43.85,126.56,null,Asia,China,Jilin,"China, Jilin",Urban Agglomeration,1311,1.3 million,1534,1.5 million,1854,1,1.4,0.1,0.2,between 0 and 2.5
43.88,125.29,null,Asia,China,Changchun,"China, Changchun",Urban Agglomeration,2730,2.7 million,3835,3.8 million,4742,2.1,1.5,0.3,0.5,between 0 and 2.5
44.43,26.1,null,Europe,Romania,Bucuresti (Bucharest),"Romania, Bucuresti (Bucharest)",City Proper,1949,1.9 million,1865,1.9 million,1939,-0.3,0.3,8.7,15.8,negative
44.82,20.46,null,Europe,Serbia,Beograd (Belgrade),"Serbia, Beograd (Belgrade)",Urban Agglomeration,1122,1.1 million,1183,1.2 million,1196,0.3,0.1,12.6,22.7,between 0 and 2.5
44.97,-93.27,null,North America,United States of America,Minneapolis-St. Paul,"United States of America, Minneapolis-St. Paul",Urban Agglomeration,2395,2.4 million,2812,2.8 million,3175,1,0.9,0.9,1,between 0 and 2.5
45.07,7.68,null,Europe,Italy,Torino (Turin),"Italy, Torino (Turin)",Metropolitan area,1694,1.7 million,1769,1.8 million,1825,0.3,0.2,2.9,4.2,between 0 and 2.5
45.42,-75.7,null,North America,Canada,Ottawa-Gatineau,"Canada, Ottawa-Gatineau",Metropolitan area,1055,1.1 million,1346,1.3 million,1577,1.5,1.1,3.7,4.5,between 0 and 2.5
45.51,-73.59,null,North America,Canada,Montréal,"Canada, Montréal",Metropolitan area,3429,3.4 million,4014,4.0 million,4517,1,0.8,11.1,13.5,between 0 and 2.5
45.52,-122.68,null,North America,United States of America,Portland,"United States of America, Portland",Urban Agglomeration,1589,1.6 million,2025,2.0 million,2336,1.5,1,0.6,0.8,between 0 and 2.5
45.55,9.18,null,Europe,Italy,Milano (Milan),"Italy, Milano (Milan)",Metropolitan area,2985,3.0 million,3104,3.1 million,3162,0.2,0.1,5.1,7.3,between 0 and 2.5
45.75,4.85,null,Europe,France,Lyon,"France, Lyon",Urban Agglomeration,1443,1.4 million,1622,1.6 million,1814,0.7,0.8,2.5,3.1,between 0 and 2.5
46.48,30.73,null,Europe,Ukraine,Odesa,"Ukraine, Odesa",City Proper,1037,1.0 million,1011,1.0 million,1031,-0.2,0.1,2.3,3.3,negative
46.58,125,null,Asia,China,Daqing,"China, Daqing",Urban Agglomeration,1082,1.1 million,1661,1.7 million,2113,2.7,1.7,0.1,0.2,between 2.5 and 5
47.22,39.7,null,Europe,Russian Federation,Rostov-na-Donu (Rostov-on-Don),"Russian Federation, Rostov-na-Donu (Rostov-on-Don)",City Proper,1061,1.1 million,1095,1.1 million,1110,0.2,0.1,0.8,1,between 0 and 2.5
47.34,123.97,null,Asia,China,Qiqihaer,"China, Qiqihaer",Urban Agglomeration,1188,1.2 million,1469,1.5 million,1798,1.3,1.4,0.1,0.2,between 0 and 2.5
