Lat,Lon,Title,Continent,Country or area,City,X.1,Statistical concept,2000,2000_tooltip,2016,2016_tooltip,2030,2000-2016,2016-2030,Total population,Urban population,category
23.71,90.41,null,Asia,Bangladesh,Dhaka,"Bangladesh, Dhaka",Metropolitan area,10285,10.3 million,18237,18.2 million,27374,3.6,2.9,11.2,32.1,between 2.5 and 5
23.8,86.45,null,Asia,India,Dhanbad,"India, Dhanbad",Urban Agglomeration,1046,1.0 million,1269,1.3 million,1680,1.2,2,0.1,0.3,between 0 and 2.5
24.14,120.67,null,Asia,China,Taichung,"China, Taichung",Urban Agglomeration,978,1.0 million,1241,1.2 million,1528,1.5,1.5,0.1,0.2,between 0 and 2.5
24.3,109.38,null,Asia,China,Liuzhou,"China, Liuzhou",Urban Agglomeration,1027,1.0 million,1663,1.7 million,2137,3,1.8,0.1,0.2,between 2.5 and 5
24.46,39.61,null,Asia,Saudi Arabia,Al-Madinah (Medina),"Saudi Arabia, Al-Madinah (Medina)",City Proper,795,0.8 million,1303,1.3 million,1570,3.1,1.3,4.3,5.1,between 2.5 and 5
24.46,54.36,null,Asia,United Arab Emirates,Abu Zaby (Abu Dhabi),"United Arab Emirates, Abu Zaby (Abu Dhabi)",City Proper,505,0.5 million,1179,1.2 million,1608,5.3,2.2,12.1,14.1,5 or more
24.48,118.08,null,Asia,China,Xiamen,"China, Xiamen",Urban Agglomeration,1416,1.4 million,4738,4.7 million,6911,7.5,2.7,0.3,0.6,5 or more
24.69,46.71,null,Asia,Saudi Arabia,Ar-Riyadh (Riyadh),"Saudi Arabia, Ar-Riyadh (Riyadh)",City Proper,3567,3.6 million,6540,6.5 million,7940,3.8,1.4,21.5,25.8,between 2.5 and 5
24.9,118.6,null,Asia,China,Quanzhou,"China, Quanzhou",Urban Agglomeration,728,0.7 million,1447,1.4 million,1928,4.3,2,0.1,0.2,between 2.5 and 5
24.91,67.08,null,Asia,Pakistan,Karachi,"Pakistan, Karachi",Urban Agglomeration,10032,10.0 million,17121,17.1 million,24838,3.3,2.7,9,22.8,between 2.5 and 5
25.04,102.72,null,Asia,China,Kunming,"China, Kunming",Urban Agglomeration,2600,2.6 million,3860,3.9 million,4805,2.5,1.6,0.3,0.5,between 2.5 and 5
25.05,121.55,null,Asia,China,Taipei,"China, Taipei",Urban Agglomeration,2630,2.6 million,2669,2.7 million,3116,0.1,1.1,0.2,0.3,between 0 and 2.5
25.17,75.86,null,Asia,India,Kota,"India, Kota",Urban Agglomeration,692,0.7 million,1200,1.2 million,1710,3.4,2.5,0.1,0.3,between 2.5 and 5
25.27,55.31,null,Asia,United Arab Emirates,Dubayy (Dubai),"United Arab Emirates, Dubayy (Dubai)",Urban Agglomeration,907,0.9 million,2504,2.5 million,3471,6.3,2.3,25.7,29.9,5 or more
25.28,110.29,null,Asia,China,Guilin,"China, Guilin",Urban Agglomeration,805,0.8 million,1056,1.1 million,1310,1.7,1.5,0.1,0.1,between 0 and 2.5
25.32,82.98,null,Asia,India,Varanasi (Benares),"India, Varanasi (Benares)",Urban Agglomeration,1199,1.2 million,1566,1.6 million,2102,1.7,2.1,0.1,0.4,between 0 and 2.5
25.36,55.4,null,Asia,United Arab Emirates,Sharjah,"United Arab Emirates, Sharjah",City Proper,445,0.4 million,1332,1.3 million,1890,6.9,2.5,13.7,15.9,5 or more
25.37,68.37,null,Asia,Pakistan,Hyderabad,"Pakistan, Hyderabad",Urban Agglomeration,1221,1.2 million,1812,1.8 million,2613,2.5,2.6,0.9,2.4,between 2.5 and 5
25.44,119.01,null,Asia,China,Putian,"China, Putian",Urban Agglomeration,613,0.6 million,1512,1.5 million,2111,5.6,2.4,0.1,0.2,5 or more
25.45,81.85,null,Asia,India,Allahabad,"India, Allahabad",Urban Agglomeration,1035,1.0 million,1313,1.3 million,1755,1.5,2.1,0.1,0.3,between 0 and 2.5
25.54,-103.46,null,North America,Mexico,Torreón,"Mexico, Torreón",Metropolitan area,1014,1.0 million,1354,1.4 million,1643,1.8,1.4,1.1,1.3,between 0 and 2.5
25.6,85.12,null,Asia,India,Patna,"India, Patna",Urban Agglomeration,1658,1.7 million,2247,2.2 million,3016,1.9,2.1,0.2,0.5,between 0 and 2.5
25.67,-100.32,null,North America,Mexico,Monterrey,"Mexico, Monterrey",Metropolitan area,3405,3.4 million,4589,4.6 million,5471,1.9,1.3,3.6,4.6,between 0 and 2.5
25.79,-80.2,null,North America,United States of America,Miami,"United States of America, Miami",Urban Agglomeration,4933,4.9 million,5864,5.9 million,6554,1.1,0.8,1.8,2.2,between 0 and 2.5
26.08,119.3,null,Asia,China,"Fuzhou, Fujian","China, Fuzhou, Fujian",Urban Agglomeration,2009,2.0 million,3380,3.4 million,4335,3.3,1.8,0.2,0.4,between 2.5 and 5
26.17,91.75,null,Asia,India,Guwahati (Gauhati),"India, Guwahati (Gauhati)",Urban Agglomeration,797,0.8 million,1059,1.1 million,1430,1.8,2.1,0.1,0.2,between 0 and 2.5
26.22,78.18,null,Asia,India,Gwalior,"India, Gwalior",Urban Agglomeration,855,0.9 million,1248,1.2 million,1718,2.4,2.3,0.1,0.3,between 0 and 2.5
26.24,73.02,null,Asia,India,Jodhpur,"India, Jodhpur",Urban Agglomeration,842,0.8 million,1318,1.3 million,1837,2.8,2.4,0.1,0.3,between 2.5 and 5
26.43,50.1,null,Asia,Saudi Arabia,Ad-Dammam,"Saudi Arabia, Ad-Dammam",City Proper,639,0.6 million,1085,1.1 million,1321,3.3,1.4,3.6,4.3,between 2.5 and 5
26.47,80.35,null,Asia,India,Kanpur,"India, Kanpur",Urban Agglomeration,2641,2.6 million,3044,3.0 million,3950,0.9,1.9,0.2,0.7,between 0 and 2.5
26.58,106.72,null,Asia,China,Guiyang,"China, Guiyang",Urban Agglomeration,1860,1.9 million,2944,2.9 million,3734,2.9,1.7,0.2,0.4,between 2.5 and 5
26.85,80.92,null,Asia,India,Lucknow,"India, Lucknow",Urban Agglomeration,2221,2.2 million,3295,3.3 million,4493,2.5,2.2,0.3,0.8,between 2.5 and 5
26.92,75.82,null,Asia,India,Jaipur,"India, Jaipur",Urban Agglomeration,2259,2.3 million,3549,3.5 million,4885,2.8,2.3,0.3,0.8,between 2.5 and 5
27.18,78.02,null,Asia,India,Agra,"India, Agra",Urban Agglomeration,1293,1.3 million,2017,2.0 million,2793,2.8,2.3,0.2,0.5,between 2.5 and 5
27.7,85.32,null,Asia,Nepal,Kathmandu,"Nepal, Kathmandu",City Proper,644,0.6 million,1224,1.2 million,1855,4,3,4.3,22.4,between 2.5 and 5
27.78,120.68,null,Asia,China,Ruian,"China, Ruian",Urban Agglomeration,555,0.6 million,1005,1.0 million,1326,3.7,2,0.1,0.1,between 2.5 and 5
27.83,112.93,null,Asia,China,"Xiangtan, Hunan","China, Xiangtan, Hunan",Urban Agglomeration,698,0.7 million,1032,1.0 million,1311,2.4,1.7,0.1,0.1,between 0 and 2.5
27.83,113.15,null,Asia,China,Zhuzhou,"China, Zhuzhou",Urban Agglomeration,819,0.8 million,1100,1.1 million,1369,1.8,1.6,0.1,0.1,between 0 and 2.5
27.88,78.08,null,Asia,India,Aligarh,"India, Aligarh",Urban Agglomeration,653,0.7 million,1067,1.1 million,1502,3.1,2.4,0.1,0.2,between 2.5 and 5
27.95,-82.46,null,North America,United States of America,Tampa-St. Petersburg,"United States of America, Tampa-St. Petersburg",Urban Agglomeration,2071,2.1 million,2694,2.7 million,3105,1.6,1,0.8,1,between 0 and 2.5
